Country Name,Country Code,Series Name,Series Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.99613651,1.711560045,-0.44137931,-0.415627598,1.558152476,0.595890411,-2.314972425,0.3,0.814223995,1.244437119,0.159888078,0.96777412,2.084980237,1.035717743,0.356869132,0.137911563,0.111766261,0.389205053,-0.207108732,-0.488347421,-0.278693266,-1.260505646,1.025051793,-0.390522069,1.940319966,1.733413885
Cambodia,KHM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.150861409,7.960213978,14.80650354,4.008207021,-0.791992529,-0.6006483,0.211466568,0.941746118,4.319336774,6.61525912,5.810685505,8.708827706,24.09685193,-1.241717542,3.996395281,5.478447496,2.934316093,2.941625095,3.855688614,1.223931955,3.019139751,2.912635574,2.459085154,1.942575008,2.940295143,2.920734776
Indonesia,IDN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.973280856,6.226141634,58.45104447,20.47783111,3.68861916,11.50011488,11.90011757,6.757317194,6.064059885,10.45319842,13.1086721,6.406562813,10.22666455,4.38641555,5.134204008,5.35604779,4.279499996,6.412513302,6.394925408,6.363121131,3.525805157,3.80879807,3.198346416,3.03058665,1.920968006,1.560129905
Lao PDR,LAO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,13.0244157,27.50886245,90.98073456,125.2721284,25.08464143,7.811807948,10.63134463,15.48935292,10.46226673,7.165417599,6.545594391,4.661972695,7.628808876,0.141187675,5.982545216,7.568988561,4.255126778,6.371427178,4.129243069,1.277354271,1.596912276,0.825478608,2.040392669,3.322558813,5.10407263,3.755620367
Myanmar,MMR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,16.27539664,29.69723258,51.48754975,18.40104337,-0.109165515,21.10130538,57.07451126,36.58971753,4.534213741,9.368618142,19.99648734,35.02459707,26.79953719,1.472343114,7.718381959,5.021460146,1.467583227,5.643038834,4.953299185,9.454171895,6.928825258,4.572536553,6.872328657,8.825066968,8.128566968,7.563225258
Philippines,PHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.476103778,5.590259397,9.234934323,5.939049018,3.977125032,5.345501956,2.722772277,2.289156627,4.829210836,6.516853933,5.485232068,2.9,8.260447036,4.219030521,3.789836348,4.718417047,3.026963911,2.582687661,3.597823439,0.674192537,1.253698801,2.853187726,5.309346616,2.392065344,2.393162393,3.927180221
Singapore,SGP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.383180525,2.003586185,-0.267502293,0.016709834,1.361623924,0.997197956,-0.391676867,0.5079053,1.662727199,0.425106277,0.962901778,2.104880036,6.627781774,0.596720257,2.823661349,5.247793398,4.575602704,2.358604154,1.02514803,-0.522618167,-0.53226874,0.57626031,0.438620118,0.565260569,-0.181916667,2.30485959
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.805105547,5.625797471,7.99472875,0.284726459,1.591969175,1.626908873,0.697308977,1.804349946,2.759149262,4.540369196,4.63747436,2.241540953,5.468489496,-0.845716092,3.247588424,3.808790581,3.014899503,2.184886185,1.895141819,-0.900424963,0.188149704,0.665631893,1.063897542,0.706728601,-0.845937147,1.230395413
Vietnam,VNM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.675,3.209526063,7.266198044,4.117102358,-1.710337279,-0.431544512,3.830828382,3.234648173,7.754947487,8.284572431,7.418017151,8.344448898,23.11544835,6.7169827,9.207466488,18.67773228,9.094703396,6.592674759,4.084554466,0.631200905,2.66824817,3.520256888,3.539628059,2.795823675,3.220934367,1.834715548
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.488559459,2.662514597,5.270342003,2.744561302,1.534740237,1.416784732,1.807872463,1.089676326,1.421271159,2.975070927,3.609235642,2.027353178,5.440782211,0.583308406,1.622852356,3.174470922,1.663571025,2.105012312,3.142990509,2.104389802,2.090566595,3.871201158,0.884709161,0.662891866,-1.138702154,2.477102415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
